1  598  598.0  85   85.0  181  181.0
2  928  928.0  87   87.0  164  164.0
3  1285 1285.0 88   88.0  161  161.0
4  1613 1613.0 88   88.0  161  161.0
5  1947 1947.0 91   91.0  159  159.0
6  2267 2267.0 92   92.0  160  160.0
7  2725 2725.0 98   98.0  161  161.0
8  2931 2931.0 97   97.0  161  161.0
